date,value,unit,lat,lon,city,parameter
2024-11-06 12:00:00,88.8,μg/m³,45.4642,9.19,,pm25
2024-11-06 13:00:00,91.3,μg/m³,45.4642,9.19,,pm25
2024-11-06 14:00:00,81.2,μg/m³,45.4642,9.19,,pm25
2024-11-06 15:00:00,77.5,μg/m³,45.4642,9.19,,pm25
2024-11-06 16:00:00,72.2,μg/m³,45.4642,9.19,,pm25
2024-11-06 17:00:00,66.9,μg/m³,45.4642,9.19,,pm25
2024-11-06 18:00:00,67.3,μg/m³,45.4642,9.19,,pm25
2024-11-06 19:00:00,76.8,μg/m³,45.4642,9.19,,pm25
2024-11-06 20:00:00,90.6,μg/m³,45.4642,9.19,,pm25
2024-11-06 21:00:00,99.3,μg/m³,45.4642,9.19,,pm25
2024-11-06 22:00:00,104.6,μg/m³,45.4642,9.19,,pm25
2024-11-06 23:00:00,114.2,μg/m³,45.4642,9.19,,pm25
2024-11-07 00:00:00,123.5,μg/m³,45.4642,9.19,,pm25
2024-11-07 01:00:00,127.5,μg/m³,45.4642,9.19,,pm25
2024-11-07 02:00:00,119.2,μg/m³,45.4642,9.19,,pm25
2024-11-07 03:00:00,98.3,μg/m³,45.4642,9.19,,pm25
2024-11-07 04:00:00,99.5,μg/m³,45.4642,9.19,,pm25
2024-11-07 05:00:00,99.2,μg/m³,45.4642,9.19,,pm25
2024-11-07 06:00:00,99.2,μg/m³,45.4642,9.19,,pm25
2024-11-07 07:00:00,98.3,μg/m³,45.4642,9.19,,pm25
2024-11-07 08:00:00,100.7,μg/m³,45.4642,9.19,,pm25
2024-11-07 09:00:00,101.9,μg/m³,45.4642,9.19,,pm25
2024-11-07 10:00:00,102.6,μg/m³,45.4642,9.19,,pm25
2024-11-07 11:00:00,97.3,μg/m³,45.4642,9.19,,pm25
2024-11-07 12:00:00,98.3,μg/m³,45.4642,9.19,,pm25
2024-11-07 13:00:00,96.9,μg/m³,45.4642,9.19,,pm25
2024-11-07 14:00:00,91.4,μg/m³,45.4642,9.19,,pm25
2024-11-07 15:00:00,100.4,μg/m³,45.4642,9.19,,pm25
2024-11-07 16:00:00,90.6,μg/m³,45.4642,9.19,,pm25
2024-11-07 17:00:00,85.4,μg/m³,45.4642,9.19,,pm25
2024-11-07 18:00:00,83.0,μg/m³,45.4642,9.19,,pm25
2024-11-07 19:00:00,89.5,μg/m³,45.4642,9.19,,pm25
2024-11-07 20:00:00,97.9,μg/m³,45.4642,9.19,,pm25
2024-11-07 21:00:00,105.0,μg/m³,45.4642,9.19,,pm25
2024-11-07 22:00:00,111.1,μg/m³,45.4642,9.19,,pm25
2024-11-07 23:00:00,116.9,μg/m³,45.4642,9.19,,pm25
2024-11-08 00:00:00,116.6,μg/m³,45.4642,9.19,,pm25
2024-11-08 01:00:00,122.0,μg/m³,45.4642,9.19,,pm25
2024-11-08 02:00:00,110.8,μg/m³,45.4642,9.19,,pm25
2024-11-08 03:00:00,116.7,μg/m³,45.4642,9.19,,pm25
2024-11-08 04:00:00,95.6,μg/m³,45.4642,9.19,,pm25
2024-11-08 05:00:00,89.9,μg/m³,45.4642,9.19,,pm25
2024-11-08 06:00:00,89.8,μg/m³,45.4642,9.19,,pm25
2024-11-08 07:00:00,87.0,μg/m³,45.4642,9.19,,pm25
2024-11-08 08:00:00,85.3,μg/m³,45.4642,9.19,,pm25
2024-11-08 09:00:00,87.8,μg/m³,45.4642,9.19,,pm25
2024-11-08 10:00:00,82.4,μg/m³,45.4642,9.19,,pm25
2024-11-08 11:00:00,80.9,μg/m³,45.4642,9.19,,pm25
2024-11-08 12:00:00,80.5,μg/m³,45.4642,9.19,,pm25
2024-11-08 13:00:00,80.1,μg/m³,45.4642,9.19,,pm25
2024-11-08 14:00:00,74.1,μg/m³,45.4642,9.19,,pm25
2024-11-08 15:00:00,66.4,μg/m³,45.4642,9.19,,pm25
2024-11-08 16:00:00,61.9,μg/m³,45.4642,9.19,,pm25
2024-11-08 17:00:00,62.5,μg/m³,45.4642,9.19,,pm25
2024-11-08 18:00:00,66.0,μg/m³,45.4642,9.19,,pm25
2024-11-08 19:00:00,74.8,μg/m³,45.4642,9.19,,pm25
2024-11-08 20:00:00,77.8,μg/m³,45.4642,9.19,,pm25
2024-11-08 21:00:00,81.7,μg/m³,45.4642,9.19,,pm25
2024-11-08 22:00:00,80.8,μg/m³,45.4642,9.19,,pm25
2024-11-08 23:00:00,86.6,μg/m³,45.4642,9.19,,pm25
2024-11-09 00:00:00,92.4,μg/m³,45.4642,9.19,,pm25
2024-11-09 01:00:00,92.7,μg/m³,45.4642,9.19,,pm25
2024-11-09 02:00:00,96.1,μg/m³,45.4642,9.19,,pm25
2024-11-09 03:00:00,101.9,μg/m³,45.4642,9.19,,pm25
2024-11-09 04:00:00,93.1,μg/m³,45.4642,9.19,,pm25
2024-11-09 05:00:00,93.2,μg/m³,45.4642,9.19,,pm25
2024-11-09 06:00:00,97.8,μg/m³,45.4642,9.19,,pm25
2024-11-09 07:00:00,96.5,μg/m³,45.4642,9.19,,pm25
2024-11-09 08:00:00,88.8,μg/m³,45.4642,9.19,,pm25
2024-11-09 09:00:00,89.6,μg/m³,45.4642,9.19,,pm25
2024-11-09 10:00:00,86.4,μg/m³,45.4642,9.19,,pm25
2024-11-09 11:00:00,77.8,μg/m³,45.4642,9.19,,pm25
2024-11-09 12:00:00,76.7,μg/m³,45.4642,9.19,,pm25
2024-11-09 13:00:00,68.7,μg/m³,45.4642,9.19,,pm25
2024-11-09 14:00:00,63.2,μg/m³,45.4642,9.19,,pm25
2024-11-09 15:00:00,56.7,μg/m³,45.4642,9.19,,pm25
2024-11-09 16:00:00,52.2,μg/m³,45.4642,9.19,,pm25
2024-11-09 17:00:00,50.0,μg/m³,45.4642,9.19,,pm25
2024-11-09 18:00:00,54.1,μg/m³,45.4642,9.19,,pm25
2024-11-09 19:00:00,57.0,μg/m³,45.4642,9.19,,pm25
2024-11-09 20:00:00,63.1,μg/m³,45.4642,9.19,,pm25
2024-11-09 21:00:00,67.2,μg/m³,45.4642,9.19,,pm25
2024-11-09 22:00:00,75.0,μg/m³,45.4642,9.19,,pm25
2024-11-09 23:00:00,80.6,μg/m³,45.4642,9.19,,pm25
2024-11-10 00:00:00,86.2,μg/m³,45.4642,9.19,,pm25
2024-11-10 01:00:00,87.8,μg/m³,45.4642,9.19,,pm25
2024-11-10 02:00:00,86.2,μg/m³,45.4642,9.19,,pm25
2024-11-10 03:00:00,90.8,μg/m³,45.4642,9.19,,pm25
2024-11-10 04:00:00,84.0,μg/m³,45.4642,9.19,,pm25
2024-11-10 05:00:00,83.1,μg/m³,45.4642,9.19,,pm25
2024-11-10 06:00:00,82.3,μg/m³,45.4642,9.19,,pm25
2024-11-10 07:00:00,81.9,μg/m³,45.4642,9.19,,pm25
2024-11-10 08:00:00,80.6,μg/m³,45.4642,9.19,,pm25
2024-11-10 09:00:00,67.0,μg/m³,45.4642,9.19,,pm25
2024-11-10 10:00:00,63.3,μg/m³,45.4642,9.19,,pm25
2024-11-10 11:00:00,62.7,μg/m³,45.4642,9.19,,pm25
2024-11-10 12:00:00,51.0,μg/m³,45.4642,9.19,,pm25
2024-11-10 13:00:00,49.4,μg/m³,45.4642,9.19,,pm25
2024-11-10 14:00:00,49.8,μg/m³,45.4642,9.19,,pm25
2024-11-10 15:00:00,46.6,μg/m³,45.4642,9.19,,pm25
2024-11-10 16:00:00,47.3,μg/m³,45.4642,9.19,,pm25
2024-11-10 17:00:00,49.2,μg/m³,45.4642,9.19,,pm25
2024-11-10 18:00:00,58.8,μg/m³,45.4642,9.19,,pm25
2024-11-10 19:00:00,63.3,μg/m³,45.4642,9.19,,pm25
2024-11-10 20:00:00,66.5,μg/m³,45.4642,9.19,,pm25
2024-11-10 21:00:00,70.5,μg/m³,45.4642,9.19,,pm25
2024-11-10 22:00:00,74.9,μg/m³,45.4642,9.19,,pm25
2024-11-10 23:00:00,77.4,μg/m³,45.4642,9.19,,pm25
2024-11-11 00:00:00,85.8,μg/m³,45.4642,9.19,,pm25
2024-11-11 01:00:00,90.8,μg/m³,45.4642,9.19,,pm25
2024-11-11 02:00:00,98.4,μg/m³,45.4642,9.19,,pm25
2024-11-11 03:00:00,93.4,μg/m³,45.4642,9.19,,pm25
2024-11-11 04:00:00,93.3,μg/m³,45.4642,9.19,,pm25
2024-11-11 05:00:00,78.8,μg/m³,45.4642,9.19,,pm25
2024-11-11 06:00:00,65.5,μg/m³,45.4642,9.19,,pm25
2024-11-11 07:00:00,67.0,μg/m³,45.4642,9.19,,pm25
2024-11-11 08:00:00,68.7,μg/m³,45.4642,9.19,,pm25
2024-11-11 09:00:00,69.2,μg/m³,45.4642,9.19,,pm25
2024-11-11 10:00:00,69.8,μg/m³,45.4642,9.19,,pm25
2024-11-11 11:00:00,67.7,μg/m³,45.4642,9.19,,pm25
2024-11-11 12:00:00,59.1,μg/m³,45.4642,9.19,,pm25
2024-11-11 13:00:00,42.5,μg/m³,45.4642,9.19,,pm25
2024-11-11 14:00:00,34.7,μg/m³,45.4642,9.19,,pm25
2024-11-11 15:00:00,31.6,μg/m³,45.4642,9.19,,pm25
2024-11-11 16:00:00,29.9,μg/m³,45.4642,9.19,,pm25
2024-11-11 17:00:00,29.9,μg/m³,45.4642,9.19,,pm25
2024-11-11 18:00:00,35.8,μg/m³,45.4642,9.19,,pm25
2024-11-11 19:00:00,40.2,μg/m³,45.4642,9.19,,pm25
2024-11-11 20:00:00,46.3,μg/m³,45.4642,9.19,,pm25
2024-11-11 21:00:00,55.6,μg/m³,45.4642,9.19,,pm25
2024-11-11 22:00:00,62.1,μg/m³,45.4642,9.19,,pm25
2024-11-11 23:00:00,70.1,μg/m³,45.4642,9.19,,pm25
2024-11-12 00:00:00,73.6,μg/m³,45.4642,9.19,,pm25
2024-11-12 01:00:00,81.2,μg/m³,45.4642,9.19,,pm25
2024-11-12 02:00:00,77.0,μg/m³,45.4642,9.19,,pm25
2024-11-12 03:00:00,71.9,μg/m³,45.4642,9.19,,pm25
2024-11-12 04:00:00,64.0,μg/m³,45.4642,9.19,,pm25
2024-11-12 05:00:00,58.6,μg/m³,45.4642,9.19,,pm25
2024-11-12 06:00:00,54.1,μg/m³,45.4642,9.19,,pm25
2024-11-12 07:00:00,54.2,μg/m³,45.4642,9.19,,pm25
2024-11-12 08:00:00,57.2,μg/m³,45.4642,9.19,,pm25
2024-11-12 09:00:00,54.2,μg/m³,45.4642,9.19,,pm25
2024-11-12 10:00:00,48.9,μg/m³,45.4642,9.19,,pm25
2024-11-12 11:00:00,40.7,μg/m³,45.4642,9.19,,pm25
2024-11-12 12:00:00,29.8,μg/m³,45.4642,9.19,,pm25
2024-11-12 13:00:00,23.1,μg/m³,45.4642,9.19,,pm25
2024-11-12 14:00:00,21.2,μg/m³,45.4642,9.19,,pm25
2024-11-12 15:00:00,21.3,μg/m³,45.4642,9.19,,pm25
2024-11-12 16:00:00,22.6,μg/m³,45.4642,9.19,,pm25
2024-11-12 17:00:00,28.8,μg/m³,45.4642,9.19,,pm25
2024-11-12 18:00:00,31.6,μg/m³,45.4642,9.19,,pm25
2024-11-12 19:00:00,38.2,μg/m³,45.4642,9.19,,pm25
2024-11-12 20:00:00,38.6,μg/m³,45.4642,9.19,,pm25
2024-11-12 21:00:00,43.5,μg/m³,45.4642,9.19,,pm25
2024-11-12 22:00:00,51.8,μg/m³,45.4642,9.19,,pm25
2024-11-12 23:00:00,57.1,μg/m³,45.4642,9.19,,pm25
2024-11-13 00:00:00,60.6,μg/m³,45.4642,9.19,,pm25
2024-11-13 01:00:00,66.3,μg/m³,45.4642,9.19,,pm25
2024-11-13 02:00:00,60.4,μg/m³,45.4642,9.19,,pm25
2024-11-13 03:00:00,61.4,μg/m³,45.4642,9.19,,pm25
2024-11-13 04:00:00,58.9,μg/m³,45.4642,9.19,,pm25
2024-11-13 05:00:00,50.3,μg/m³,45.4642,9.19,,pm25
2024-11-13 06:00:00,48.4,μg/m³,45.4642,9.19,,pm25
2024-11-13 07:00:00,48.6,μg/m³,45.4642,9.19,,pm25
2024-11-13 08:00:00,51.4,μg/m³,45.4642,9.19,,pm25
2024-11-13 09:00:00,48.7,μg/m³,45.4642,9.19,,pm25
2024-11-13 10:00:00,49.6,μg/m³,45.4642,9.19,,pm25
2024-11-13 11:00:00,49.1,μg/m³,45.4642,9.19,,pm25
2024-11-13 12:00:00,47.5,μg/m³,45.4642,9.19,,pm25
2024-11-13 13:00:00,44.4,μg/m³,45.4642,9.19,,pm25
2024-11-13 14:00:00,38.7,μg/m³,45.4642,9.19,,pm25
2024-11-13 15:00:00,36.9,μg/m³,45.4642,9.19,,pm25
2024-11-13 16:00:00,37.4,μg/m³,45.4642,9.19,,pm25
2024-11-13 17:00:00,38.5,μg/m³,45.4642,9.19,,pm25
2024-11-13 18:00:00,43.8,μg/m³,45.4642,9.19,,pm25
2024-11-13 19:00:00,49.0,μg/m³,45.4642,9.19,,pm25
2024-11-13 20:00:00,53.3,μg/m³,45.4642,9.19,,pm25
2024-11-13 21:00:00,59.0,μg/m³,45.4642,9.19,,pm25
2024-11-13 22:00:00,62.6,μg/m³,45.4642,9.19,,pm25
2024-11-13 23:00:00,66.3,μg/m³,45.4642,9.19,,pm25
2024-11-14 00:00:00,67.2,μg/m³,45.4642,9.19,,pm25
2024-11-14 01:00:00,61.5,μg/m³,45.4642,9.19,,pm25
